Protein.IDs	Fasta.headers	Razor...unique.peptides.Prn1_1	Razor...unique.peptides.Prn1_2	Razor...unique.peptides.Prn1_3	Razor...unique.peptides.Prn1_4	Razor...unique.peptides.Prn1_H2O2_1	Razor...unique.peptides.Prn1_H2O2_2	Razor...unique.peptides.Prn1_H2O2_3	Razor...unique.peptides.Prn1_H2O2_4	Razor...unique.peptides.WT_H2O2_1	Razor...unique.peptides.WT_H2O2_2	Razor...unique.peptides.WT_H2O2_3	Razor...unique.peptides.WT_H2O2_4	Razor...unique.peptides.WT1	Razor...unique.peptides.WT2	Razor...unique.peptides.WT3	Razor...unique.peptides.WT4	Unique.peptides.Prn1_1	Unique.peptides.Prn1_2	Unique.peptides.Prn1_3	Unique.peptides.Prn1_4	Unique.peptides.Prn1_H2O2_1	Unique.peptides.Prn1_H2O2_2	Unique.peptides.Prn1_H2O2_3	Unique.peptides.Prn1_H2O2_4	Unique.peptides.WT_H2O2_1	Unique.peptides.WT_H2O2_2	Unique.peptides.WT_H2O2_3	Unique.peptides.WT_H2O2_4	Unique.peptides.WT1	Unique.peptides.WT2	Unique.peptides.WT3	Unique.peptides.WT4	Intensity.Prn1_1	Intensity.Prn1_2	Intensity.Prn1_3	Intensity.Prn1_4	Intensity.Prn1_H2O2_1	Intensity.Prn1_H2O2_2	Intensity.Prn1_H2O2_3	Intensity.Prn1_H2O2_4	Intensity.WT_H2O2_1	Intensity.WT_H2O2_2	Intensity.WT_H2O2_3	Intensity.WT_H2O2_4	Intensity.WT1	Intensity.WT2	Intensity.WT3	Intensity.WT4	Only.identified.by.site	Reverse	Potential.contaminant
CON__Q148H6;CON__Q7Z3Y7	;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		+
CON__Q2UVX4		2	1	0	0	0	2	2	0	0	1	2	3	2	0	0	1	2	1	0	0	0	2	2	0	0	1	2	3	2	0	0	1	109670000	11015000	0	0	0	41948000	71159000	0	0	12832000	91618000	97237000	50001000	0	0	26646000			+
CON__Q7Z3Y8		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102390000	0	0	0	0	0	0	0	0	0	+		+
CON__Q86YZ3		0	2	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	14973000	0	0	4247900	0	0	0	1153000	4644600	0	0	0	0	0	0			+
orf19.1026	orf19.1026 orf19.1026 CGDID:CAL0001085 COORDS:Ca21chr1_C_albicans_SC5314:804068-803076C, translated using codon table 12 (330 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	4069600	0	7557200	3948700	0	5483900	4232300	4441500	0	7474000	0	0			
orf19.1026.1	orf19.1026.1 orf19.1026.1 CGDID:CAL0120491 COORDS:Ca21chr1_C_albicans_SC5314:804272-804541W, translated using codon table 12 (89 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	7378400	0	0	0	0	0	14953000	0	0	8716600			
orf19.1029	orf19.1029 RPP1 CGDID:CAL0001088 COORDS:Ca21chr1_C_albicans_SC5314:797227-798159W, translated using codon table 12 (310 amino acids) Uncharacterized ORF; Putative ortholog of S. cerevisiae Rpp1; subunit of both RNase MRP and nuclear RNase P; rat catheter a	0	2	3	2	2	0	1	0	1	2	1	0	0	0	2	0	0	2	3	2	2	0	1	0	1	2	1	0	0	0	2	0	0	14846000	50511000	17091000	10912000	0	8631000	0	8778600	73433000	7912700	0	0	0	14700000	0			
orf19.1030	orf19.1030 orf19.1030 CGDID:CAL0001110 COORDS:Ca21chr1_C_albicans_SC5314:796893-795613C, translated using codon table 12 (426 amino acids) Uncharacterized ORF; Putative peptidyl-prolyl cis-trans isomerase	3	4	5	6	4	3	6	4	4	5	5	5	3	3	4	5	3	4	5	6	4	3	6	4	4	5	5	5	3	3	4	5	99127000	95447000	216830000	195270000	150040000	148260000	242130000	213210000	109120000	215660000	239220000	295080000	83279000	101250000	157460000	222080000			
orf19.1032	orf19.1032 SKO1 CGDID:CAL0001116 COORDS:Ca21chr1_C_albicans_SC5314:788364-790210W, translated using codon table 12 (578 amino acids) Verified ORF; bZIP transcription factor; involved in cell wall damage response; represses the yeast-to-hypha transition; mu	2	2	2	2	2	2	2	3	1	1	3	1	2	3	2	2	2	2	2	2	2	2	2	3	1	1	3	1	2	3	2	2	0	34849000	24699000	13626000	3160500	0	11445000	14591000	0	5010200	21043000	6163100	15431000	40382000	19623000	12617000			
orf19.4482;orf19.1037	orf19.4482 IFI3 CGDID:CAL0001993 COORDS:Ca21chr1_C_albicans_SC5314:854018-855784W, translated using codon table 12 (588 amino acids) Uncharacterized ORF; Protein of unknown function; constitutive expression independent of MTL or white-opaque status;orf19.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6294700	0	0	0	0	0	0	0	0	0	0	0	3189400			
orf19.1042	orf19.1042 POR1 CGDID:CAL0001151 COORDS:Ca21chr1_C_albicans_SC5314:860544-859696C, translated using codon table 12 (282 amino acids) Verified ORF; Mitochondrial outer membrane porin; in detergent-resistant membrane fraction (possible lipid raft component);	1	3	2	1	3	3	4	4	2	3	2	5	3	1	1	2	1	3	2	1	3	3	4	4	2	3	2	5	3	1	1	2	35480000	81664000	35492000	15047000	65763000	76926000	131450000	84082000	42057000	65983000	61238000	84665000	135450000	41422000	11608000	36456000			
orf19.1047	orf19.1047 ERB1 CGDID:CAL0001157 COORDS:Ca21chr1_C_albicans_SC5314:864198-866747W, translated using codon table 12 (849 amino acids) Verified ORF; Protein with a predicted role in ribosomal large subunit biogenesis; mutation confers hypersensitivity to 5-f	0	1	9	10	0	2	4	7	0	0	3	8	0	0	7	5	0	1	9	10	0	2	4	7	0	0	3	8	0	0	7	5	0	41568000	192550000	255300000	0	52227000	42545000	70748000	0	0	46393000	118870000	0	0	128090000	102460000			
orf19.1048	orf19.1048 IFD6 CGDID:CAL0001158 COORDS:Ca21chr1_C_albicans_SC5314:867455-868489W, translated using codon table 12 (344 amino acids) Verified ORF; Aldo-keto reductase; similar to aryl alcohol dehydrogenases; protein increase correlates with MDR1 overexpres	1	1	1	1	1	1	2	2	1	2	2	3	0	0	1	0	1	1	1	1	1	1	2	2	1	2	2	2	0	0	1	0	0	0	7081900	6640100	6217400	0	12202000	20889000	11138000	24165000	28249000	32345000	0	0	5262400	0			
orf19.105	orf19.105 HAL22 CGDID:CAL0002967 COORDS:Ca21chr6_C_albicans_SC5314:200573-201649W, translated using codon table 12 (358 amino acids) Uncharacterized ORF; Putative phosphoadenosine-5-phosphate or 3-phosphoadenosine 5-phosphosulfate phosphatase; possible 	11	10	13	10	11	12	5	6	9	11	5	9	12	10	10	11	5	4	7	5	5	6	2	2	3	5	2	6	7	5	4	6	814950000	808980000	967540000	1005899999.9999999	731230000	614410000	270450000	273240000	663430000	748150000	350860000	347360000	880740000	824140000	783970000	775320000			
orf19.1051	orf19.1051 HTA2 CGDID:CAL0001183 COORDS:Ca21chr1_C_albicans_SC5314:871141-870746C, translated using codon table 12 (131 amino acids) Uncharacterized ORF; Putative histone H2A; farnesol regulated; rat catheter biofilm repressed; Spider biofilm repressed; Ha	5	5	6	5	5	4	4	6	4	5	4	5	5	5	6	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4268199999.9999995	8540099999.999999	15482000000	18557000000	4681000000	203680000	3518499999.9999995	7857899999.999999	2707000000	9924800000	8703800000	9435300000	8101299999.999999	5423000000	14250000000	12613000000			
orf19.1055	orf19.1055 CDC3 CGDID:CAL0001190 COORDS:Ca21chr1_C_albicans_SC5314:877866-876470C, translated using codon table 12 (428 amino acids) Verified ORF; Septin; essential for viability; functional homolog of S. cerevisiae Cdc3p; down-regulation associated with a	2	3	2	3	2	4	4	3	4	2	0	2	4	3	1	4	1	2	1	2	1	3	3	2	3	1	0	2	3	2	0	3	30805000	46419000	30612000	38586000	29773000	42641000	44896000	31569000	40104000	29538000	0	21397000	52432000	51003000	8336500	43749000			
orf19.1057	orf19.1057 orf19.1057 CGDID:CAL0001192 COORDS:Ca21chr1_C_albicans_SC5314:879384-878815C, translated using codon table 12 (189 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	14082000	57996000	0	0	0	16701000	0	0	20418000	17289000	0	8431200	34815000	14517000			
orf19.1058	orf19.1058 orf19.1058 CGDID:CAL0001193 COORDS:Ca21chr1_C_albicans_SC5314:879709-880689W, translated using codon table 12 (277 amino acids) Uncharacterized ORF; Protein of unknown function	6	8	3	4	7	5	5	5	5	8	4	5	8	5	4	3	6	8	3	4	7	5	5	5	5	8	4	5	8	5	4	3	155980000	138750000	39779000	63520000	289580000	251790000	112160000	93828000	161120000	243220000	89108000	116160000	207980000	147830000	58348000	74224000			
orf19.1854;orf19.1059	orf19.1854 HHF22 CGDID:CAL0001693 COORDS:Ca21chrR_C_albicans_SC5314:1461352-1461035C, translated using codon table 12 (105 amino acids) Uncharacterized ORF; Putative histone H4; regulated by Efg1; flucytosine, fluconazole-induced; amphotericin B, caspofung	4	4	6	7	2	2	3	6	4	3	6	7	4	5	6	6	4	4	6	7	2	2	3	6	4	3	6	7	4	5	6	6	298830000	325390000	546080000	677180000	74386000	93490000	70965000	569760000	271250000	181730000	738790000	848130000	240990000	180130000	434880000	477120000			
orf19.1061;orf19.1853;orf19.6791	orf19.1061 HHT21 CGDID:CAL0001203 COORDS:Ca21chr1_C_albicans_SC5314:882239-882649W, translated using codon table 12 (136 amino acids) Uncharacterized ORF; Putative histone H3; amphotericin B repressed; regulated by Efg1, farnesol; Hap43-induced; rat cathet	1	1	3	2	0	0	1	2	1	1	3	3	1	1	2	3	1	1	3	2	0	0	1	2	1	1	3	3	1	1	2	3	137820000	204470000	296530000	314270000	0	0	37339000	360980000	93360000	107360000	265920000	282660000	75433000	81369000	205780000	233690000			
orf19.1064	orf19.1064 ACS2 CGDID:CAL0001207 COORDS:Ca21chr1_C_albicans_SC5314:889191-886084C, translated using codon table 12 (676 amino acids) Verified ORF; Acetyl-CoA synthetase; antigenic during human and murine infection; induced by Efg1; macrophage-induced prote	19	22	26	24	22	23	16	13	23	24	23	16	16	20	26	16	19	22	25	23	22	23	15	13	22	23	21	16	16	19	25	16	944010000	925080000	1896499999.9999998	1347700000	899640000	862570000	410590000	248790000	1088200000	914980000	876200000	379790000	432300000	904110000	1484899999.9999998	657060000			
orf19.1065	orf19.1065 SSA2 CGDID:CAL0001208 COORDS:Ca21chr1_C_albicans_SC5314:892386-890449C, translated using codon table 12 (645 amino acids) Verified ORF; HSP70 family chaperone; cell wall fractions; antigenic; beta-defensin peptides impport; ATPase domain binds h	37	38	40	41	39	34	39	38	37	39	37	36	40	38	40	41	19	20	21	21	19	18	21	19	19	19	19	19	21	19	21	22	22028000000	21740000000	27260000000	22897000000	21118000000	19330000000	16661000000	23393000000	19907000000	25624000000	18516000000	18743000000	23566000000	20612000000	20919000000	23973000000			
orf19.1067	orf19.1067 GPM2 CGDID:CAL0001210 COORDS:Ca21chr1_C_albicans_SC5314:895168-895953W, translated using codon table 12 (261 amino acids) Verified ORF; Putative phosphoglycerate mutase; repressed in hyphae; macrophage/pseudohyphal-repressed; induced by high lev	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3544300	17945000	0	0	0	0	0	0	0	0	0	0	4767000	5670400			
orf19.1078	orf19.1078 HBR2 CGDID:CAL0001229 COORDS:Ca21chr6_C_albicans_SC5314:932489-931212C, translated using codon table 12 (425 amino acids) Uncharacterized ORF; Putative alanine glyoxylate aminotransferase; regulated by Gcn4p and hemoglobin; stationary phase enri	9	8	5	7	11	11	9	6	10	9	8	8	7	9	5	7	9	8	5	7	11	11	9	6	10	9	8	8	7	9	5	7	358570000	209380000	355360000	321590000	804060000	644780000	349990000	262900000	1059899999.9999999	801140000	371850000	420800000	325470000	258980000	158660000	267790000			
orf19.1082.1	orf19.1082.1 orf19.1082.1 CGDID:CAF0006920 COORDS:Ca21chr6_C_albicans_SC5314:937165-937416W, translated using codon table 12 (83 amino acids) Uncharacterized ORF; Protein of unknown function	5	6	5	5	7	5	7	8	2	6	5	5	6	5	8	7	5	6	5	5	7	5	7	8	2	6	5	5	6	5	8	7	288640000	292290000	296930000	192550000	476450000	443180000	447660000	484290000	36286000	507640000	382600000	364140000	312760000	269910000	321280000	365960000			
orf19.1085	orf19.1085 orf19.1085 CGDID:CAL0001253 COORDS:Ca21chr6_C_albicans_SC5314:946663-947361W, translated using codon table 12 (232 amino acids) Uncharacterized ORF; Protein of unknown function	4	3	5	4	4	4	3	3	4	6	3	3	2	3	4	3	4	3	5	4	4	4	3	3	4	6	3	3	2	3	4	3	60142000	77910000	153300000	112160000	88762000	99963000	125220000	128200000	100010000	280470000	106110000	60513000	33209000	99525000	114250000	75242000			
orf19.1086	orf19.1086 orf19.1086 CGDID:CAL0001254 COORDS:Ca21chr6_C_albicans_SC5314:948405-950273W, translated using codon table 12 (622 amino acids) Uncharacterized ORF; Protein of unknown function	3	4	3	3	5	4	4	3	2	6	3	7	4	4	2	2	3	4	3	3	5	4	4	3	2	6	3	7	4	4	2	2	116410000	130300000	59115000	60690000	100090000	86788000	110000000	113240000	80127000	124740000	107290000	153470000	131840000	125300000	39438000	61424000			
orf19.109	orf19.109 orf19.109 CGDID:CAL0002971 COORDS:Ca21chr6_C_albicans_SC5314:204422-205927W, translated using codon table 12 (501 amino acids) Uncharacterized ORF; Probable mitochondrial tyrosyl-tRNA synthetase, based on conservation in other fungi	1	1	2	3	2	2	2	1	2	2	2	3	0	0	3	3	1	1	2	3	2	2	2	1	2	2	2	3	0	0	3	3	4139200	4664400	74951000	110800000	20410000	20275000	26534000	9995300	32953000	35442000	60990000	39247000	0	0	79944000	79523000			
orf19.1091	orf19.1091 NOP8 CGDID:CAL0001277 COORDS:Ca21chr6_C_albicans_SC5314:955195-957267W, translated using codon table 12 (690 amino acids) Uncharacterized ORF; Ortholog of S. cereviiae Nop8; has a role in ribosomal large subunit biogenesis; rat catheter and Spid	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1325300	0	0	2206400	2123100	2447600	0	0	2233200	0	5735800	2533100	0	0	0			
orf19.1093	orf19.1093 FLO8 CGDID:CAL0001280 COORDS:Ca21chr6_C_albicans_SC5314:962185-959807C, translated using codon table 12 (792 amino acids) Verified ORF; Transcription factor; required for hyphal formation and CO2 induced white-opaque switching; regulates hyphal 	0	0	0	0	0	0	0	1	0	1	2	2	0	1	1	2	0	0	0	0	0	0	0	1	0	1	2	2	0	1	1	2	0	0	0	0	0	0	0	10028000	0	1562400	8886400	10644000	0	4236800	0	7853500			
orf19.1095	orf19.1095 GLE2 CGDID:CAL0001281 COORDS:Ca21chr6_C_albicans_SC5314:965793-964642C, translated using codon table 12 (383 amino acids) Uncharacterized ORF; Putative nuclear pore complex; possibly an essential gene, disruptants not obtained by UAU1 method; ra	2	3	3	5	2	3	3	4	1	3	3	3	2	4	3	3	2	3	3	5	2	3	3	4	1	3	3	3	2	4	3	3	68605000	68492000	102630000	86786000	48533000	57459000	71746000	90628000	40910000	61337000	68226000	100750000	55410000	65886000	71077000	81922000			
orf19.1097	orf19.1097 ALS2 CGDID:CAL0001283 COORDS:Ca21chr6_C_albicans_SC5314:971454-978542W, translated using codon table 12 (2362 amino acids) Verified ORF; ALS family protein; role in adhesion, biofilm formation, germ tube induction; expressed at infection of huma	2	1	0	0	1	2	3	3	1	1	3	3	1	1	1	0	2	1	0	0	1	2	3	3	1	1	3	3	1	1	1	0	10442000	0	0	0	16270000	21547000	108290000	78737000	20656000	20208000	70224000	92870000	16931000	16761000	17129000	0			
orf19.1107	orf19.1107 orf19.1107 CGDID:CAL0001857 COORDS:Ca21chr5_C_albicans_SC5314:847685-847077C, translated using codon table 12 (202 amino acids) Uncharacterized ORF; Protein of unknown function; Spider biofilm induced	1	1	1	1	4	4	1	1	1	2	1	2	3	1	0	0	1	1	1	1	4	4	1	1	1	2	1	2	3	1	0	0	5835100	4065600	7093900	3090800	17631000	48396000	4621400	3746500	5392200	11406000	4405100	4634600	24808000	3633200	0	0			
orf19.1108	orf19.1108 HAM1 CGDID:CAL0001858 COORDS:Ca21chr5_C_albicans_SC5314:846299-846907W, translated using codon table 12 (202 amino acids) Uncharacterized ORF; Putative deoxyribonucleoside triphosphate pyrophosphohydrolase; caspofungin repressed; regulated by Gc	4	3	4	5	0	0	2	3	1	2	4	1	0	2	5	5	4	3	4	5	0	0	2	3	1	2	4	1	0	2	5	5	110300000	81827000	79128000	371520000	0	0	112460000	259150000	104740000	17293000	161680000	16320000	0	14511000	219900000	281740000			
orf19.1110	orf19.1110 orf19.1110 CGDID:CAL0001872 COORDS:Ca21chr5_C_albicans_SC5314:844153-845136W, translated using codon table 12 (327 amino acids) Verified ORF; Thiamine pyrophosphokinase, phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (thi	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	19731000	0	19675000	0	0	10959000	0	0	25242000	16576000	0	0	11553000	12874000	13752000	0			
orf19.1115	orf19.1115 GUK1 CGDID:CAL0001880 COORDS:Ca21chr5_C_albicans_SC5314:837684-838256W, translated using codon table 12 (190 amino acids) Uncharacterized ORF; Putative guanylate kinase; identified in extracts from biofilm and planktonic cells; protein level dec	4	8	8	8	8	4	7	8	5	6	5	5	5	5	8	5	4	8	8	8	8	4	7	8	5	6	5	5	5	5	8	5	436970000	508400000	733500000	553150000	505910000	491910000	257310000	457680000	325730000	523990000	362140000	369830000	469390000	442810000	509430000	587150000			
orf19.1122	orf19.1122 orf19.1122 CGDID:CAL0001916 COORDS:Ca21chr5_C_albicans_SC5314:824264-825106W, translated using codon table 12 (280 amino acids) Uncharacterized ORF; Protein of unknown function; induced by alpha pheromone in SpiderM medium; Spider biofilm induce	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1313300000	1475999999.9999998	2020699999.9999998	1673199999.9999998	1826999999.9999998	1445700000	1942599999.9999998	769330000	1970999999.9999998	1651499999.9999998	1000499999.9999999	1376900000	1169100000	1018499999.9999999	1653599999.9999998	1357300000			
orf19.6676;orf19.1124.2	orf19.6676 orf19.6676 CGDID:CAL0004115 COORDS:Ca21chr5_C_albicans_SC5314:809408-810307W, translated using codon table 12 (299 amino acids) Uncharacterized ORF; Protein of unknown function;orf19.1124.2 orf19.1124.2 CGDID:CAF0006918 COORDS:Ca21chr5_C_albican	1	2	3	4	1	5	4	3	2	3	6	7	2	1	4	5	1	2	3	4	1	5	4	3	2	3	6	7	2	1	4	5	62385000	74284000	252680000	276380000	69212000	143260000	291860000	142780000	83676000	103660000	278420000	353960000	25392000	49018000	192630000	223720000			
orf19.113	orf19.113 CIP1 CGDID:CAL0002993 COORDS:Ca21chr6_C_albicans_SC5314:210363-209464C, translated using codon table 12 (299 amino acids) Verified ORF; Possible oxidoreductase; transcript induced by cadmium but not other heavy metals, heat shock, yeast-hypha swi	0	2	1	2	15	14	1	6	15	15	7	1	1	1	1	1	0	2	1	2	15	14	1	6	15	15	7	1	1	1	1	1	0	36053000	16418000	41232000	4000899999.9999995	2912500000	21171000	184900000	2808300000	3447199999.9999995	313990000	0	9938100	20829000	18002000	12273000			
orf19.1139	orf19.1139 orf19.1139 CGDID:CAL0001968 COORDS:Ca21chr1_C_albicans_SC5314:2581086-2578162C, translated using codon table 12 (974 amino acids) Uncharacterized ORF; Protein of unknown funtion; S. cerevisiae ortholog Svl3 plays a role in endocytosis and is loc	1	1	2	1	1	2	2	2	0	3	1	1	3	3	2	2	1	1	2	1	1	2	2	2	0	3	1	1	3	3	2	2	18232000	22097000	29448000	24661000	18908000	20741000	30054000	28105000	0	47975000	21852000	28411000	66630000	54777000	26659000	39291000			
orf19.1149	orf19.1149 MRF1 CGDID:CAL0002010 COORDS:Ca21chr1_C_albicans_SC5314:2563794-2562715C, translated using codon table 12 (359 amino acids) Uncharacterized ORF; Putative mitochondrial respiratory protein; induced by farnesol, benomyl, nitric oxide, core stress 	4	5	6	9	14	14	9	14	11	14	14	9	3	2	9	7	4	5	6	9	14	14	9	14	11	14	14	9	3	2	9	7	155080000	147690000	231820000	408910000	1309300000	1059999999.9999999	352390000	771370000	1387300000	1530099999.9999998	974160000	535230000	74173000	48414000	399380000	264920000			
orf19.1153	orf19.1153 GAD1 CGDID:CAL0002044 COORDS:Ca21chr1_C_albicans_SC5314:2555881-2557587W, translated using codon table 12 (568 amino acids) Uncharacterized ORF; Putative glutamate decarboxylase; alkaline, macrophage-downregulated gene; amphotericin B induced; i	25	21	13	9	25	23	17	18	21	23	18	18	24	20	14	11	25	21	13	9	25	23	17	18	21	23	18	18	24	20	14	11	1852399999.9999998	1362600000	338470000	169930000	1695299999.9999998	1719799999.9999998	556630000	884750000	2018199999.9999998	1382700000	928450000	799760000	1444600000	1365700000	250760000	248080000			
orf19.1154	orf19.1154 EGD1 CGDID:CAL0002046 COORDS:Ca21chr1_C_albicans_SC5314:2554317-2554790W, translated using codon table 12 (157 amino acids) Uncharacterized ORF; Putative GAL4 DNA-binding enhancer protein; soluble protein in hyphae; biofilm induced; macrophage/p	7	8	8	9	7	7	8	7	7	8	9	8	8	8	9	6	7	8	8	9	7	7	8	7	7	8	9	8	8	8	9	6	4140499999.9999995	5435600000	10122000000	7572799999.999999	4096699999.9999995	3940699999.9999995	6301599999.999999	8478899999.999999	1912699999.9999998	7245699999.999999	6871699999.999999	8270899999.999999	5959499999.999999	4840700000	7486799999.999999	6862999999.999999			
orf19.1161	orf19.1161 PLD1 CGDID:CAL0002069 COORDS:Ca21chr1_C_albicans_SC5314:2542332-2547464W, translated using codon table 12 (1710 amino acids) Verified ORF; Phospholipase D1; required for phosphatidic acid and for most diacylglycerol production; required for wild	1	1	1	0	1	1	2	1	0	1	1	0	2	2	1	2	1	1	1	0	1	1	2	1	0	1	1	0	2	2	1	2	12116000	11130000	8664500	0	8221300	12484000	10129000	16003000	0	13002000	10010000	0	26161000	20653000	9111100	12659000			
